"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2022,"Abilene Christian",51.9736842105263,264,27.884823554882,1,30.9183673469388,288,49.1228070175439,358
2022,"Air Force",51.4878892733564,244,20.2782138318621,71,29.3978748524203,232,38.8927335640138,334
2022,"Akron",49.1158014831717,132,17.5117856029154,227,26.3695450324977,102,26.1836851112379,74
2022,"Alabama",49.7781065088757,169,17.9294568611085,203,30.4907481898632,272,34.7633136094675,288
2022,"Alabama A&M",46.3149078726968,29,19.5840783363133,99,30.9749784296808,291,28.643216080402,134
2022,"Alabama St.",50.4152823920266,193,19.5007573954881,102,33.5820895522388,345,33.8316722037652,267
2022,"Albany",50.7312614259598,210,20.6490035513357,48,27.1516393442623,125,31.8098720292505,225
2022,"Alcorn St.",50.7131537242472,209,19.1441262580539,129,27.9192273924495,170,36.6613840464871,313
2022,"American",53.2608695652174,314,17.3936676178829,234,29.0448343079922,224,28.9297658862876,144
2022,"Appalachian St.",49.8279816513761,170,17.8539414059361,212,25.9587020648968,83,21.6743119266055,12
2022,"Arizona",44.3541666666667,8,17.4209919261822,231,28.5806869734284,203,24.0416666666667,37
2022,"Arizona St.",46.3272120200334,31,19.579324887121,100,30.2925989672978,267,32.3316638842515,237
2022,"Arkansas",47.5175644028103,67,20.4921474762745,57,25.28047868362,66,31.8969555035129,229
2022,"Arkansas Pine Bluff",55.4733727810651,351,18.7395649031872,149,36.195652173913,357,34.5562130177515,283
2022,"Arkansas St.",49.1749174917492,136,19.2280974742282,124,28.4004352557127,195,28.1188118811881,117
2022,"Army",52.784222737819,295,19.3601758220049,113,27.2727272727273,132,22.8538283062645,22
2022,"Auburn",44.1439205955335,6,20.0380031093453,83,28.9174867524603,220,34.2431761786601,279
2022,"Austin Peay",52.538247566064,285,20.942990070134,38,30.3592120509849,269,36.0917941585535,304
2022,"BYU",47.7191184008201,76,14.9677055483549,335,22.530612244898,14,31.0609943618657,204
2022,"Ball St.",52.3756906077348,279,17.1846773820001,250,28.2027649769585,182,32.7624309392265,246
2022,"Baylor",47.8065539112051,78,22.9773789831446,14,28.8296041308089,212,27.7484143763214,106
2022,"Bellarmine",54.3921069382559,337,17.6750049134887,220,30.5309734513274,274,30.1718650541057,178
2022,"Belmont",49.4435612082671,151,20.8907394368149,40,27.8070175438597,164,23.4764175940647,29
2022,"Bethune Cookman",51.4845230574858,242,20.3529972968675,65,30.8602150537634,284,35.5022109917877,296
2022,"Binghamton",49.9362244897959,174,15.9074079153068,305,27.1221532091097,124,30.1020408163265,175
2022,"Boise St.",48.3036707452725,100,20.2151793535635,75,22.4413145539906,11,25.8620689655172,65
2022,"Boston College",51.5475520540236,250,18.6938259080469,151,25.7387988560534,72,31.5137872819358,218
2022,"Boston University",50.8519701810437,218,16.5148700964486,288,24.2727272727273,42,28.9669861554846,145
2022,"Bowling Green",53.4877384196185,321,17.302663241698,241,30.6542056074766,279,30.7901907356948,196
2022,"Bradley",46.9066032123736,44,18.1997682104992,183,23.3301975540922,23,30.2201070791196,180
2022,"Brown",51.149802890933,231,19.4525943491017,105,28.1857451403888,181,33.1800262812089,252
2022,"Bryant",47.5956820412169,70,16.5640615078817,283,31.6205533596838,313,25.2208047105005,50
2022,"Bucknell",53.7536800785083,329,13.7524777978117,352,29.9823633156966,257,22.9146221786065,24
2022,"Buffalo",48.152359295054,90,15.8456043922035,309,27.8855032317636,167,29.3916998294486,161
2022,"Butler",49.9131944444444,173,17.0877218825956,256,27.4353876739563,141,30.2083333333333,179
2022,"Cal Baptist",48.1533296026861,91,17.3844976546116,235,27.7477477477477,162,33.7996642417459,265
2022,"Cal Poly",48.1042654028436,84,17.0252217703702,261,26.9353128313892,118,36.8314150304672,315
2022,"Cal St. Bakersfield",51.4438943894389,241,20.1202572297501,77,26.1213720316623,90,48.019801980198,357
2022,"Cal St. Fullerton",51.1158021712907,229,20.215954551725,74,28.2340862422998,184,25.6936067551267,62
2022,"Cal St. Northridge",51.8799472295514,260,19.9017082750275,86,32.9583802024747,338,36.4775725593668,310
2022,"California",47.4704890387858,65,14.6569987765942,340,23.3636363636364,24,31.4783586284429,216
2022,"Campbell",50.5763688760807,202,18.2957204317307,175,26.0663507109005,88,27.5936599423631,101
2022,"Canisius",51.5466816647919,249,17.7886614609805,215,26.3313609467456,101,32.2272215973003,235
2022,"Central Arkansas",54.7826086956522,343,16.3837265936284,295,30.873786407767,286,29.7826086956522,171
2022,"Central Connecticut",52.8993435448578,300,18.8430638635277,146,31.7624882186616,317,28.8293216630197,139
2022,"Central Michigan",53.0466970387244,305,16.5954085232378,281,31.3276026743075,302,36.1047835990888,305
2022,"Charleston",51.2460233297985,234,19.1180844347277,130,25.0220264317181,58,37.6458112407211,325
2022,"Charleston Southern",55.2712700369914,350,17.3759068529099,236,25.7174392935982,70,29.9630086313194,172
2022,"Charlotte",52.6450511945392,288,16.94710083525,265,25.6206554121152,69,26.4505119453925,81
2022,"Chattanooga",49.3715846994535,146,18.1445477356638,188,26.2488646684832,97,27.8142076502732,108
2022,"Chicago St.",53.7279453614115,328,18.664401494083,153,32.0975609756098,327,38.5315879339784,333
2022,"Cincinnati",44.9620801733478,13,17.9182054438517,204,29.639175257732,242,34.5070422535211,282
2022,"Clemson",49.6770721205597,164,16.9297359525516,266,24.1197183098592,40,29.1173304628633,151
2022,"Cleveland St.",49.3636363636364,145,21.8975857296632,28,31.8226600985222,319,34.2424242424242,278
2022,"Coastal Carolina",46.4942528735632,35,17.4000164868961,232,28.7119856887299,207,25.4597701149425,54
2022,"Colgate",48.9330024813896,124,15.9760359460809,304,25.1219512195122,61,24.1191066997519,39
2022,"Colorado",48.0999479437793,83,17.5441489273995,226,24.429416737109,45,27.0171785528371,91
2022,"Colorado St.",50.089552238806,180,18.4805057029686,160,25.0501002004008,59,25.5522388059701,57
2022,"Columbia",54.8033526756931,344,16.4406314441152,293,28.8174512055109,211,25.1450676982592,49
2022,"Connecticut",46.0116217643951,26,17.9752284444642,199,27.5577557755776,150,31.7485472794506,223
2022,"Coppin St.",49.2563212692117,141,20.3111061846474,69,31.9903303787268,324,28.1110560237977,116
2022,"Cornell",51.0465901417961,226,18.140202726717,189,28.1767955801105,180,31.2626603646185,208
2022,"Creighton",44.9186991869919,12,15.4815948533036,327,28.5407725321888,201,20.776874435411,4
2022,"Dartmouth",50.8221225710015,215,19.1622688744485,127,26.8897149938042,116,28.4005979073244,127
2022,"Davidson",49.5332235035695,155,16.7450633115203,275,22.3907225691347,9,27.951674903899,109
2022,"Dayton",46.8717683557394,39,17.1042163882259,255,23.5294117647059,29,23.6814891416753,32
2022,"DePaul",48.7709205020921,117,16.7567475016123,274,28.5220397579948,200,26.0460251046025,69
2022,"Delaware",49.6461071789687,162,18.4548892490546,164,31.303602058319,300,29.0697674418605,150
2022,"Delaware St.",51.1333333333333,230,19.320942319643,117,34.7266881028939,354,34.2,277
2022,"Denver",52.4096385542169,281,16.5265224028885,287,28.0821917808219,176,32.2432587492828,236
2022,"Detroit Mercy",54.3987341772152,338,19.0072527675034,136,29.7237569060773,244,30.506329113924,189
2022,"Dixie St.",50.8413461538462,217,17.8785097021304,208,28.8577154308617,214,30.6490384615385,191
2022,"Drake",49.3232268543584,143,19.3474590119288,114,25.9127337488869,81,33.5138061721711,260
