"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2019,"Abilene Christian",49.8375568551007,132,23.2766338406446,9,28.4810126582278,188,38.2716049382716,299
2019,"Air Force",53.5491198182851,300,17.7859552284575,221,24.1379310344828,18,28.5633162975582,67
2019,"Akron",45.4520244037715,13,19.0583485894006,134,29.873417721519,251,30.5601774819745,117
2019,"Alabama",48.9252564728871,90,16.8787000881723,274,27.9776179056755,165,29.5554469956033,87
2019,"Alabama A&M",53.6705202312139,308,20.9497126847537,44,31.866028708134,305,38.8439306358381,308
2019,"Alabama St.",53.0453697949037,286,21.2452198255393,35,32.3189926547744,317,36.8551895587321,277
2019,"Albany",52.13133640553,243,18.5492519786468,164,28.2712511938873,178,30.241935483871,107
2019,"Alcorn St.",52.6697429136454,269,18.1642855677365,188,31.496062992126,293,36.5194462755438,268
2019,"American",48.1568168519602,53,17.7265462294764,225,27.3854961832061,143,34.815681685196,229
2019,"Appalachian St.",53.8095238095238,314,17.3739425889276,249,29.7192642787996,247,34.0616246498599,218
2019,"Arizona",50.8826879271071,176,20.3499053164128,66,25.936329588015,75,35.0227790432802,235
2019,"Arizona St.",48.5301444942701,72,18.9766994955561,137,26.9498069498069,114,38.5650224215247,304
2019,"Arkansas",49.3519958527735,112,22.5154844849786,16,34.8039215686275,347,41.6796267496112,332
2019,"Arkansas Pine Bluff",51.5954244431066,212,19.7496869603404,96,30.7170542635659,270,44.9729078868152,347
2019,"Arkansas St.",51.5822784810127,211,17.0824484842827,266,29.9145299145299,253,43.7284234752589,345
2019,"Army",53.3092324805339,295,18.7472119169024,154,22.8678537956888,8,28.3648498331479,61
2019,"Auburn",51.7249640632487,219,24.6217547621468,2,32.8649492583919,326,36.3200766650695,264
2019,"Austin Peay",52.547065337763,258,20.7767783679706,52,30.0278035217794,257,34.21926910299,220
2019,"BYU",50.6799163179916,167,17.6237017295944,230,26.9691780821918,115,35.407949790795,242
2019,"Ball St.",47.2292191435768,29,17.8655990356881,215,28.731045490822,202,30.3274559193955,111
2019,"Baylor",49.1171749598716,105,18.568443569684,162,29.3916023993145,232,36.490101658641,267
2019,"Belmont",48.7085769980507,83,16.0419688061194,315,24.9603803486529,41,27.4366471734893,39
2019,"Bethune Cookman",47.8126752664049,41,19.712105627132,97,31.5092674315975,294,36.6236679753225,272
2019,"Binghamton",52.3035230352304,252,16.7575781425,284,31.689497716895,299,25.2032520325203,14
2019,"Boise St.",51.7805020431991,221,18.486208284949,170,24.3705941591138,20,33.5668417980152,204
2019,"Boston College",48.4210526315789,69,16.6233283803863,295,31.4673452078032,292,29.4210526315789,84
2019,"Boston University",54.6206503137479,329,18.2056409902765,183,25.1261352169526,45,32.4586423274387,169
2019,"Bowling Green",50.8273009307135,173,17.8168009869739,220,24.7508305647841,32,31.1271975180972,129
2019,"Bradley",47.6060935799782,38,18.4073629451781,172,26.7011197243755,102,35.6365614798694,246
2019,"Brown",48.0214810627473,46,20.9700362501721,42,27.4734982332155,149,31.2605992085924,133
2019,"Bryant",54.8708920187793,331,18.5914339727149,161,30.2040816326531,261,35.4460093896714,243
2019,"Bucknell",49.2230576441103,108,16.6437268395977,292,27.6150627615063,154,32.4310776942356,165
2019,"Buffalo",47.3461719116956,32,20.3466970082324,67,27.0110701107011,119,31.892907468295,151
2019,"Butler",52.7186098654709,273,18.9424544393572,141,27.5992438563327,152,36.322869955157,265
2019,"Cal Baptist",48.8415779586725,85,15.0519887770259,339,28.8711288711289,211,39.6368190356919,319
2019,"Cal Poly",52.5961538461538,263,15.5775075987842,325,31.4472252448313,290,38.0769230769231,297
2019,"Cal St. Bakersfield",51.3007614213198,201,20.0786096509921,79,29.5546558704453,240,52.5380710659898,352
2019,"Cal St. Fullerton",48.3421052631579,63,16.7675315625737,282,26.7343485617597,103,35.6842105263158,248
2019,"Cal St. Northridge",51.5700483091787,210,17.0724851917011,267,32.4654190398698,319,32.1739130434783,159
2019,"California",56.9086651053864,348,20.4670813284826,62,31.4405888538381,289,36.1241217798595,260
2019,"Campbell",54.5707226683138,327,19.5433711081363,103,28.8912579957356,213,36.0098826436072,258
2019,"Canisius",53.5634118967452,302,20.5269331408463,60,31.9006685768863,308,36.8686868686869,279
2019,"Central Arkansas",51.9018743109151,227,17.9752436072941,209,30.8957952468007,276,34.2888643880926,223
2019,"Central Connecticut",53.0365566037736,284,18.1011900080463,196,29.9412915851272,254,37.2051886792453,281
