"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2023,"Abilene Christian",49.2094861660079,243,17.3415132924335,118,25.5387931034483,269,32.2793148880105,140
2023,"Air Force",54.1870415647922,28,18.9777036250569,242,22.2803347280335,341,31.2347188264059,186
2023,"Akron",51.8528916339135,100,16.5783800247242,68,29.8095238095238,141,33.6327905670971,105
2023,"Alabama",52.1175453759723,88,18.673097700966,227,34.2049469964664,24,36.6464995678479,47
2023,"Alabama A&M",48.5545722713864,278,21.4141892692171,342,29.5256534365924,150,35.811209439528,58
2023,"Alabama St.",42.3164484917473,363,18.8911252087628,238,31.7829457364341,73,31.2464428002277,185
2023,"Albany",47.3491773308958,317,19.1756499682942,253,27.7992277992278,208,31.0176721511274,194
2023,"Alcorn St.",45.2355460385439,348,18.2955203214201,199,33.7137840210711,30,35.2783725910064,67
2023,"American",54.4171779141104,23,22.0213700683867,349,28.3060109289617,191,27.9141104294479,291
2023,"Appalachian St.",48.7148102815177,270,16.3122785074005,59,24.5098039215686,303,29.2533659730722,248
2023,"Arizona",56.4913127413127,3,18.3824070937238,209,30.7161345987921,107,35.8108108108108,59
2023,"Arizona St.",48.4049930651872,288,16.8058023824813,81,29.1728212703102,160,31.2066574202497,188
2023,"Arkansas",50.9209888511876,160,18.0526403957391,168,30.7248764415157,106,39.2632089190499,23
2023,"Arkansas Pine Bluff",45.1644736842105,350,21.5776718004847,344,26.6464032421479,235,33.8157894736842,100
2023,"Arkansas St.",47.6042314872433,306,18.1429337537394,180,28.7937743190661,175,35.096453018046,69
2023,"Army",53.8011695906433,34,19.0866676092182,246,25.3934942287513,273,31.3450292397661,183
2023,"Auburn",49.4977398292315,225,17.6710684273709,142,32.8358208955224,49,36.3134103465595,51
2023,"Austin Peay",46.291640477687,335,17.4464924718115,122,25.974025974026,254,26.147077309868,331
2023,"BYU",51.5216230646022,118,20.1967863737839,309,31.6939890710383,76,32.4612920448478,133
2023,"Ball St.",53.0012004801921,54,17.809244019488,150,30.5283757338552,114,42.2569027611044,8
2023,"Baylor",53.2192130812468,48,17.8570463450885,152,34.419014084507,22,36.7910066428206,46
2023,"Bellarmine",51.7441860465116,104,18.2338290380334,191,20.561797752809,352,25.3875968992248,339
2023,"Belmont",55.3174172544764,12,16.7736255589278,77,25.390625,274,24.3081931633207,348
2023,"Bethune Cookman",46.5902578796562,329,18.2615829082997,195,26.8984446477585,232,32.1489971346705,151
2023,"Binghamton",49.5435179549604,223,19.4128998974581,265,28.7332646755922,176,28.2410225197809,282
2023,"Boise St.",51.6498137307078,113,16.6430217626575,71,27.1729185727356,225,30.335284725918,215
2023,"Boston College",48.7193169690502,269,18.215736999025,188,27.6292335115865,212,27.3212379935966,311
2023,"Boston University",46.961170512099,325,17.8776872248023,156,28.7253141831239,178,29.037703995498,259
2023,"Bowling Green",50.4589787722318,187,17.5480055504051,133,29.7994269340974,143,32.4727481353987,130
2023,"Bradley",52.7173913043478,63,17.8749089858101,155,29.2253521126761,159,26.8633540372671,321
2023,"Brown",50.7385998715478,172,19.0448556468525,244,25.3151260504202,277,29.800899165061,229
2023,"Bryant",51.8862275449102,98,18.7404314972055,231,29.0060851926978,162,32.814371257485,126
2023,"Bucknell",51.340083382966,131,20.1819765753557,308,25.4081632653061,272,26.8612269207862,322
2023,"Buffalo",49.5427649273803,224,19.2212245634616,256,32.168458781362,64,31.9526627218935,159
2023,"Butler",49.490662139219,228,17.6136726715038,138,19.9807877041306,354,25.9196378041879,334
2023,"Cal Baptist",49.0246701090075,255,18.055826664064,170,28.9449954914337,166,31.5547905909352,169
2023,"Cal Poly",45.7347447073474,343,20.8513041373704,327,24.4857982370225,305,30.9464508094645,197
2023,"Cal St. Bakersfield",44.5724681625227,356,19.9066094205397,296,27.4853801169591,217,29.4117647058824,241
2023,"Cal St. Fullerton",49.4358669833729,229,17.4455873807056,121,25.922421948912,258,38.7173396674584,29
2023,"Cal St. Northridge",44.1028858218319,358,19.6129491193862,281,27.316141356256,223,36.6373902132999,48
2023,"California",43.6835891381346,361,20.1099537037037,305,25.3418413855971,275,31.5230224321133,171
2023,"Campbell",52.6694661067786,66,18.0528844722568,169,24.3705941591138,309,37.9724055188962,33
2023,"Canisius",48.6509758897819,273,17.4413883145197,120,28.3539486203616,189,24.8564867967853,343
2023,"Central Arkansas",47.1018276762402,323,18.107042573106,176,27.9461279461279,203,24.3342036553525,347
2023,"Central Connecticut",48.0522945570971,295,17.8741518597349,154,28.4710017574692,187,23.3191035218783,356
2023,"Central Michigan",46.510152284264,330,22.9014313394587,356,30.4558680892338,118,36.8654822335025,44
2023,"Charleston",51.098644226274,148,16.6671823591902,72,34.6330275229358,18,32.7255726975222,128
2023,"Charleston Southern",50.2656434474616,194,18.0616113130895,171,32.2265625,60,27.4498229043684,305
2023,"Charlotte",55.0774986638161,16,16.9555471714863,89,22.2972972972973,340,24.8530197755211,344
2023,"Chattanooga",53.9445048966268,32,17.4900032850395,128,27.3885350318471,218,31.9912948857454,157
2023,"Chicago St.",48.7558843308675,268,21.327645961077,339,33.4768568353068,32,31.9435104236718,160
2023,"Cincinnati",51.2855209742896,134,15.1670715963038,21,30.7692307692308,104,25.7104194857916,337
2023,"Clemson",54.0821632865315,30,16.1330115312416,49,23.3983286908078,327,30.4732189287571,212
2023,"Cleveland St.",49.3705941591138,234,17.2428234006555,103,34.8896434634975,15,29.7079556898288,231
2023,"Coastal Carolina",47.4535650089874,313,17.7513261741493,145,30.2879841112215,123,28.8795686039545,265
2023,"Colgate",58.2059123343527,1,15.0328708667728,17,25.1661918328585,284,27.3700305810398,308
2023,"Colorado",48.9800874210782,259,19.0201344349675,243,30.8426073131955,99,29.917435648373,225
2023,"Colorado St.",54.8349739432542,19,16.698734767652,73,19.6483971044467,355,29.8204979733642,228
2023,"Columbia",45.5031446540881,346,19.897395934801,295,25.2682926829268,283,28.0503144654088,290
2023,"Connecticut",53.9434204886412,33,18.8662437702482,236,38.4382107657316,2,30.8186883840549,201
2023,"Coppin St.",51.0055865921788,155,20.0819909378437,303,18.625678119349,363,37.1508379888268,38
2023,"Cornell",54.7885572139303,21,16.6205353883324,69,28.819068255688,173,28.4825870646766,271
2023,"Creighton",54.228280961183,27,16.6242019704911,70,25.2892561983471,280,28.3733826247689,276
2023,"Dartmouth",50.0335795836132,207,20.1977812222907,310,23.4581497797357,325,29.1470785762257,254
2023,"Davidson",50.0580383052815,206,16.1663097009959,52,24.8549323017408,293,32.7916424840395,127
2023,"Dayton",52.9988789237668,55,18.8811429752731,237,30.8061420345489,102,35.5381165919283,63
2023,"DePaul",49.6940336562978,215,18.2488380789572,193,25.8037225042301,262,27.5879653238144,300
2023,"Delaware",49.6106785317019,219,16.5367515445465,67,24.9771271729186,288,33.0367074527253,118
2023,"Delaware St.",45.8860759493671,340,23.4831648317768,360,30.6772908366534,109,28.8607594936709,267
2023,"Denver",52.3248605083695,80,21.3747758517633,340,29.8034934497817,142,39.4296342219467,21
2023,"Detroit Mercy",51.3987792472024,128,17.5997988594416,137,35.7813834329633,11,27.2126144455748,314
2023,"Drake",52.8659160696008,57,15.5327238896529,31,23.7668161434978,321,28.403275332651,275
2023,"Drexel",49.4179278230501,231,17.9295571473678,160,29.4173829990449,152,30.093131548312,217
2023,"Duke",51.0859073359073,149,18.2560602619026,194,35.9102244389027,9,29.9227799227799,224
2023,"Duquesne",51.0721247563353,151,17.2621941559825,104,33.442088091354,34,26.4132553606238,327
2023,"East Carolina",47.1255274261603,321,19.2174945467598,255,32.9517579721995,46,37.1308016877637,39
2023,"East Tennessee St.",50.5083732057416,184,19.4554718514582,266,29.8714144411474,137,31.2200956937799,187
2023,"Eastern Illinois",48.0457005411906,296,19.2075061558584,254,25.3116011505273,279,32.3511725796753,137
2023,"Eastern Kentucky",48.6248872858431,275,16.7499189768968,76,33.3828996282528,35,24.346257889991,346
2023,"Eastern Michigan",49.2040932347925,244,16.8504289093113,82,25.1198465963567,285,32.1773735076748,148
2023,"Eastern Washington",56.1813186813187,6,19.8634936574761,293,28.0078895463511,200,31.4835164835165,175
2023,"Elon",47.8051713770295,302,18.3506937915993,206,24.8780487804878,292,27.5405892964522,302
2023,"Evansville",45.0516585100598,352,17.5552520208693,134,20.7236842105263,351,29.3637846655791,245
2023,"FIU",52.1564117308798,86,20.6228662997283,321,25.4455445544554,271,28.6946520989074,268
2023,"Fairfield",46.0322380657161,337,18.2007676860113,186,28.5994123408423,183,37.879727216367,34
2023,"Fairleigh Dickinson",51.2558139534884,137,16.3690172466578,61,30.9466984884646,97,27.906976744186,292
2023,"Florida",49.3697478991597,235,16.0677356835825,48,23.7810094097519,320,34.5063025210084,83
2023,"Florida A&M",44.9750534568781,353,24.1727343307384,363,27.796234772979,209,31.3613684960798,182
2023,"Florida Atlantic",54.2974079126876,24,16.8718291579817,85,31.3526192337764,90,29.6043656207367,235
2023,"Florida Gulf Coast",51.2181303116147,140,17.1271084736972,98,26.6416510318949,237,28.2152974504249,284
2023,"Florida St.",49.2663043478261,239,17.5685848346436,136,25.9328358208955,256,30.3804347826087,214
2023,"Fordham",48.5533929510784,279,19.1623970182279,251,29.8657718120805,138,37.6117832719621,35
2023,"Fresno St.",49.3214065391734,237,18.0672954538037,173,24.9217935349322,291,24.3059839605182,349
2023,"Furman",54.9533195020747,18,15.7424362513324,35,28.9661319073084,165,34.7510373443983,75
2023,"Gardner Webb",50.7561436672968,171,19.5850263571215,276,28.5568065506653,185,34.7826086956522,73
